UJAHR,UMONAT,USTUNDE,IstRad,XGCSWGS84,YGCSWGS84,lon,lat,year,month,hour
2023,05,17,1,"13,758063836000076","51,052321624000058",13.758063836000076,51.05232162400006,2023,5,17
2023,05,12,1,"13,749737660000051","51,057121495000047",13.74973766000005,51.05712149500005,2023,5,12
2023,06,18,1,"13,706899512000064","51,065963363000037",13.706899512000064,51.06596336300004,2023,6,18
2023,05,08,1,"13,689172415000030","51,037612949000049",13.68917241500003,51.03761294900005,2023,5,8
2023,05,19,1,"13,754324947000043","51,066236896000078",13.754324947000043,51.06623689600008,2023,5,19
2023,05,17,1,"13,796380777000024","51,050085540000055",13.796380777000024,51.050085540000055,2023,5,17
2023,05,13,1,"13,720836179000059","51,084448633000079",13.72083617900006,51.08444863300008,2023,5,13
2023,05,14,1,"13,765645376000066","51,073322219000033",13.765645376000066,51.07332221900003,2023,5,14
2023,05,07,1,"13,812020633000031","51,036976112000048",13.812020633000031,51.03697611200005,2023,5,7
2023,05,05,1,"13,806220903000053","51,052136175000044",13.806220903000053,51.052136175000044,2023,5,5
2023,05,07,1,"13,738032641000075","51,054368799000031",13.738032641000075,51.05436879900003,2023,5,7
2023,05,12,1,"13,740813236000065","51,047224523000068",13.740813236000065,51.04722452300007,2023,5,12
2023,05,16,1,"13,713895101000048","51,027623964000043",13.713895101000048,51.02762396400004,2023,5,16
2023,05,22,1,"13,786520294000070","51,126809498000057",13.78652029400007,51.12680949800006,2023,5,22
2023,05,16,1,"13,808035902000029","51,058678903000043",13.808035902000029,51.05867890300004,2023,5,16
2023,05,10,1,"13,693957469000054","51,043886566000026",13.693957469000054,51.043886566000026,2023,5,10
2023,05,16,1,"13,803232971000057","51,021734138000056",13.803232971000057,51.021734138000056,2023,5,16
2023,05,18,1,"13,793497158000037","51,032438297000056",13.793497158000037,51.032438297000056,2023,5,18
2023,05,23,1,"13,727038211000036","51,061450217000072",13.727038211000036,51.06145021700007,2023,5,23
2023,05,00,1,"13,746173718000023","51,038560089000043",13.746173718000023,51.03856008900004,2023,5,0
2023,05,20,1,"13,809052085000076","51,036569285000041",13.809052085000076,51.03656928500004,2023,5,20
2023,05,14,1,"13,830977364000034","51,009914074000051",13.830977364000034,51.00991407400005,2023,5,14
2023,05,20,1,"13,780278104000047","51,184193897000057",13.780278104000047,51.18419389700006,2023,5,20
2023,05,19,1,"13,681442629000060","51,108564502000036",13.68144262900006,51.108564502000036,2023,5,19
2023,05,11,1,"13,766825679000021","51,041843875000040",13.766825679000021,51.04184387500004,2023,5,11
2023,05,13,1,"13,702310422000039","51,043914898000025",13.70231042200004,51.043914898000025,2023,5,13
2023,05,13,1,"13,795526388000042","51,145698299000060",13.795526388000042,51.14569829900006,2023,5,13
2023,05,17,1,"13,749881040000048","51,074979113000040",13.749881040000048,51.07497911300004,2023,5,17
2023,05,09,1,"13,698581080000054","51,074349542000050",13.698581080000054,51.07434954200005,2023,5,9
2023,05,13,1,"13,717676448000077","51,048711931000071",13.717676448000077,51.04871193100007,2023,5,13
2023,05,11,1,"13,734424500000046","51,088372260000028",13.734424500000046,51.08837226000003,2023,5,11
2023,05,16,1,"13,635470322000060","51,084939567000049",13.63547032200006,51.08493956700005,2023,5,16
2023,05,08,1,"13,837321760000066","51,025226217000068",13.837321760000066,51.02522621700007,2023,5,8
2023,05,20,1,"13,747875835000059","51,028802744000075",13.747875835000059,51.028802744000075,2023,5,20
2023,05,12,1,"13,751280410000049","51,042542956000034",13.75128041000005,51.042542956000034,2023,5,12
2023,05,17,1,"13,783878553000022","51,053509348000034",13.783878553000022,51.053509348000034,2023,5,17
2023,05,08,1,"13,811786936000033","51,020394170000031",13.811786936000033,51.02039417000003,2023,5,8
2023,05,09,1,"13,783029317000057","51,009291899000061",13.783029317000057,51.00929189900006,2023,5,9
2023,05,09,1,"13,756171164000023","51,060294806000059",13.756171164000023,51.06029480600006,2023,5,9
2023,05,19,1,"13,773085865000041","51,033790652000050",13.773085865000041,51.03379065200005,2023,5,19
2023,05,15,1,"13,707363795000049","51,078830936000031",13.707363795000049,51.07883093600003,2023,5,15
2023,05,15,1,"13,776773031000062","51,051896001000046",13.776773031000062,51.051896001000046,2023,5,15
2023,05,12,1,"13,704468890000044","51,024727431000031",13.704468890000044,51.02472743100003,2023,5,12
2023,05,06,1,"13,647235081000076","51,003977486000053",13.647235081000076,51.00397748600005,2023,5,6
2023,05,12,1,"13,785901529000057","51,050709771000072",13.785901529000057,51.05070977100007,2023,5,12
2023,05,17,1,"13,860811026000022","51,009114416000045",13.860811026000022,51.009114416000045,2023,5,17
2023,05,11,1,"13,689305613000045","51,014876900000047",13.689305613000045,51.01487690000005,2023,5,11
2023,05,07,1,"13,825163485000076","51,000655687000062",13.825163485000076,51.00065568700006,2023,5,7
2023,05,10,1,"13,796045681000066","51,139338245000033",13.796045681000066,51.13933824500003,2023,5,10
2023,05,11,1,"13,803461529000060","51,021824184000081",13.80346152900006,51.02182418400008,2023,5,11
2023,05,07,1,"13,769773097000041","51,042144556000039",13.76977309700004,51.04214455600004,2023,5,7
2023,05,18,1,"13,761050338000075","51,068225569000049",13.761050338000075,51.06822556900005,2023,5,18
2023,05,20,1,"13,751903449000054","51,070356668000045",13.751903449000054,51.070356668000045,2023,5,20
2023,05,16,1,"13,769020411000042","51,052644554000040",13.769020411000042,51.05264455400004,2023,5,16
2023,05,23,1,"13,690508703000035","51,014624968000078",13.690508703000035,51.01462496800008,2023,5,23
2023,05,13,1,"13,702265462000071","51,045858024000040",13.70226546200007,51.04585802400004,2023,5,13
2023,05,12,1,"13,697204142000032","51,043582197000035",13.697204142000032,51.043582197000035,2023,5,12
2023,05,17,1,"13,814296356000057","51,054275328000074",13.814296356000057,51.054275328000074,2023,5,17
2023,05,17,1,"13,792564902000038","51,047676020000040",13.792564902000038,51.04767602000004,2023,5,17
2023,05,19,1,"13,755917609000051","51,055871033000074",13.75591760900005,51.055871033000074,2023,5,19
2023,05,14,1,"13,607614161000072","51,119897157000082",13.607614161000072,51.11989715700008,2023,5,14
2023,05,18,1,"13,616403528000035","51,107271916000059",13.616403528000035,51.10727191600006,2023,5,18
2023,05,16,1,"13,775899166000045","51,032754303000047",13.775899166000045,51.03275430300005,2023,5,16
2023,05,07,1,"13,763757369000075","51,051686624000070",13.763757369000075,51.05168662400007,2023,5,7
2023,05,23,1,"13,898652172000027","51,134454442000049",13.898652172000027,51.13445444200005,2023,5,23
2023,05,13,1,"13,774377694000066","51,022663949000048",13.774377694000066,51.02266394900005,2023,5,13
2023,05,14,1,"13,835155806000046","51,029162820000067",13.835155806000046,51.02916282000007,2023,5,14
2023,05,08,1,"13,675733061000074","51,064152119000028",13.675733061000074,51.06415211900003,2023,5,8
2023,05,21,1,"13,702447407000022","51,090477853000039",13.702447407000022,51.09047785300004,2023,5,21
2023,05,14,1,"13,669824723000033","51,033303408000052",13.669824723000033,51.03330340800005,2023,5,14
2023,05,15,1,"13,691882174000057","51,049808139000049",13.691882174000057,51.04980813900005,2023,5,15
2023,05,11,1,"13,825893508000036","51,025226259000078",13.825893508000036,51.02522625900008,2023,5,11
2023,05,12,1,"13,841865556000073","51,002340552000078",13.841865556000073,51.00234055200008,2023,5,12
2023,05,16,1,"13,821669336000070","51,059338601000036",13.82166933600007,51.059338601000036,2023,5,16
2023,05,19,1,"13,789442197000028","51,042326334000052",13.789442197000028,51.04232633400005,2023,5,19
2023,05,06,1,"13,799289667000039","51,026266818000067",13.79928966700004,51.02626681800007,2023,5,6
2023,05,11,1,"13,691624499000056","51,044395730000076",13.691624499000056,51.044395730000076,2023,5,11
2023,05,12,1,"13,694580720000033","51,049691934000066",13.694580720000033,51.049691934000066,2023,5,12
2023,05,05,1,"13,657751677000022","51,083558630000027",13.657751677000022,51.08355863000003,2023,5,5
2023,05,05,1,"13,793294606000075","51,010447514000077",13.793294606000075,51.01044751400008,2023,5,5
2023,05,08,1,"13,737535794000053","51,051913302000060",13.737535794000053,51.05191330200006,2023,5,8
2023,05,14,1,"13,692652624000061","51,085684831000037",13.692652624000061,51.08568483100004,2023,5,14
2023,05,22,1,"13,730020309000054","51,088035958000034",13.730020309000054,51.088035958000034,2023,5,22
2023,05,17,1,"13,792394711000043","51,031369665000057",13.792394711000043,51.03136966500006,2023,5,17
2023,04,09,1,"13,737342280000064","51,053903060000039",13.737342280000064,51.05390306000004,2023,4,9
2023,04,10,1,"13,717445511000051","51,188658369000052",13.71744551100005,51.18865836900005,2023,4,10
2023,04,22,1,"13,706027624000058","51,020331784000064",13.706027624000058,51.020331784000064,2023,4,22
2023,04,20,1,"13,788574906000065","51,042416207000031",13.788574906000065,51.04241620700003,2023,4,20
2023,04,14,1,"13,697810315000027","51,032659377000073",13.697810315000027,51.03265937700007,2023,4,14
2023,04,16,1,"13,729455968000025","51,045706779000056",13.729455968000025,51.04570677900006,2023,4,16
2023,04,13,1,"13,801770200000021","51,029018780000058",13.801770200000021,51.02901878000006,2023,4,13
2023,04,10,1,"13,808355487000028","51,045277041000077",13.808355487000028,51.04527704100008,2023,4,10
2023,04,17,1,"13,787512802000037","51,059064215000035",13.787512802000037,51.059064215000035,2023,4,17
2023,04,15,1,"13,637474216000044","51,091662472000053",13.637474216000044,51.09166247200005,2023,4,15
2023,04,20,1,"13,779004070000042","51,037851147000026",13.779004070000042,51.037851147000026,2023,4,20
2023,04,16,1,"13,709960507000062","51,096174920000067",13.709960507000062,51.09617492000007,2023,4,16
2023,04,08,1,"13,757842536000055","51,075867677000076",13.757842536000055,51.075867677000076,2023,4,8
2023,04,17,1,"13,701932514000077","51,079099653000071",13.701932514000077,51.07909965300007,2023,4,17
2023,04,11,1,"13,721029955000063","51,077402048000067",13.721029955000063,51.07740204800007,2023,4,11
2023,04,19,1,"13,754724006000060","51,057002526000076",13.75472400600006,51.057002526000076,2023,4,19
2023,04,10,1,"13,752468108000073","51,060676317000059",13.752468108000073,51.06067631700006,2023,4,10
2023,04,07,1,"13,716230163000034","51,052175081000030",13.716230163000034,51.05217508100003,2023,4,7
2023,04,16,1,"13,675554025000054","51,064235056000030",13.675554025000054,51.06423505600003,2023,4,16
2023,04,11,1,"13,714968869000074","51,027372912000033",13.714968869000074,51.02737291200003,2023,4,11
2023,04,07,1,"13,884432203000074","51,056763596000053",13.884432203000074,51.05676359600005,2023,4,7
2023,04,07,1,"13,792543698000031","51,037309214000061",13.792543698000031,51.03730921400006,2023,4,7
2023,04,07,1,"13,841908802000034","51,019307480000066",13.841908802000034,51.019307480000066,2023,4,7
2023,04,07,1,"13,724306963000060","51,054019275000030",13.72430696300006,51.05401927500003,2023,4,7
2023,04,09,1,"13,709933125000077","51,044936816000074",13.709933125000077,51.044936816000074,2023,4,9
